abstract	title
This final rule with comment period revises the Medicare hospital outpatient prospective payment system (OPPS) and the Medicare ambulatory surgical center (ASC) payment system for Calendar Year 2020 based on our continuing experience with these systems. In this final rule with comment period, we describe the changes to the amounts and factors used to determine the payment rates for Medicare services paid under the OPPS and those paid under the ASC payment system. Also, this final rule with comment period updates and refines the requirements for the Hospital Outpatient Quality Reporting (OQR) Program and the ASC Quality Reporting (ASCQR) Program. In addition, this final rule with comment period establishes a process and requirements for prior authorization for certain covered outpatient department services; revise the conditions for coverage of organ procurement organizations; and revise the regulations to allow grandfathered children's hospitals- within-hospitals to increase the number of beds without resulting in the loss of grandfathered status; and provides notice of the closure of two teaching hospitals and the opportunity to apply for available slots for purposes of indirect medical education (IME) and direct graduate medical education (DGME) payments.	Medicare Program: Changes to Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Revisions of Organ Procurement Organizations Conditions of Coverage; Prior Authorization Process and Requirements for Certain Covered Outpatient Department Services; Potential Changes to the Laboratory Date of Service Policy; Changes to Grandfathered Children's Hospitals-Within-Hospitals; Notice of Closure of Two Teaching Hospitals and Opportunity To Apply for Available Slots
The Food and Drug Administration (FDA, the Agency, or we) is announcing the following public meeting entitled ``A New Era of Smarter Food Safety'' to get input from a broad cross-section of stakeholders on a modern approach the Agency is taking to strengthen its protection of the food supply. The purpose of this meeting is to foster a dialogue with our domestic and international regulatory and public health partners, industry, consumers, academia, and others. The input received at this meeting, and in comments submitted to the docket, will be used to shape an FDA Blueprint for a New Era of Smarter Food Safety. This Blueprint will outline how this modern approach will address public health challenges, ranging from being able to trace sources of contaminated foods, to using new predictive analytics tools like artificial intelligence to assess risks, and help prioritize the Agency's work and resources.	A New Era of Smarter Food Safety; Public Meeting, Request for Comments
The Food and Drug Administration (FDA) is requesting nominations for voting members to serve on the Device Good Manufacturing Practice Advisory Committee (DGMPAC) and the Medical Devices Advisory Committee (MDAC) device panels in the Center for Devices and Radiological Health. This annual notice is also in accordance with the 21st Century Cures Act, which requires the Secretary of Health and Human Services (the Secretary) to provide an annual opportunity for patients, representatives of patients, and sponsors of medical devices that may be specifically the subject of a review by a classification panel to provide recommendations for individuals with appropriate expertise to fill voting member positions on classification panels. FDA seeks to include the views of women and men, members of all racial and ethnic groups, and individuals with and without disabilities on its advisory committees, and therefore, encourages nominations of appropriately qualified candidates from these groups.	Request for Nominations for Voting Members on Public Advisory Panels or Committees; Device Good Manufacturing Practice Advisory Committee and the Medical Devices Advisory Committee
The Food and Drug Administration (FDA or the Agency) is announcing the following public workshop entitled ``FDA Science Forum 2019.'' The purpose of the public workshop is to share with the public the unique scientific research and collaborative efforts of FDA's 11,000 scientists and researchers, who use novel science and technologies to inform FDA's regulatory decision-making--and drive innovation.	Food and Drug Administration Science Forum 2019; Public Workshop
We are revising the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2020 and to implement certain recent legislation. We also are making changes relating to Medicare graduate medical education (GME) for teaching hospitals and payments to critical access hospital (CAHs). In addition, we are providing the market basket update that will apply to the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis, subject to these limits for FY 2020. We are updating the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2020. In this FY 2020 IPPS/LTCH PPS final rule, we are addressing wage index disparities impacting low wage index hospitals; providing for an alternative IPPS new technology add-on payment pathway for certain transformative new devices and qualified infectious disease products; and revising the calculation of the IPPS new technology add-on payment. In addition, we are revising and clarifying our policies related to the substantial clinical improvement criterion used for evaluating applications for the new technology add-on payment under the IPPS. We are establishing new requirements or revising existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS-exempt cancer hospitals, and LTCHs). We also are establishing new requirements and revising existing requirements for eligible hospitals and critical access hospitals (CAHs) participating in the Medicare and Medicaid Promoting Interoperability Programs. We are updating policies for the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program.	Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2020 Rates; Quality Reporting Requirements for Specific Providers; Medicare and Medicaid Promoting Interoperability Programs Requirements for Eligible Hospitals and Critical Access Hospitals
This proposed rule proposes revisions to the Medicare hospital outpatient prospective payment system (OPPS) and the Medicare ambulatory surgical center (ASC) payment system for CY 2020 based on our continuing experience with these systems. In this proposed rule, we describe the proposed changes to the amounts and factors used to determine the payment rates for Medicare services paid under the OPPS and those paid under the ASC payment system. In addition, this proposed rule would update and refine the requirements for the Hospital Outpatient Quality Reporting (OQR) Program and the ASC Quality Reporting (ASCQR) Program. In addition, in this proposed rule, we are proposing to establish requirements for all hospitals in the United States for making hospital standard charges available to the public; establish a process and requirements for prior authorization for certain covered outpatient department services; revise the conditions for coverage of organ procurement organizations; and revise the regulations to allow grandfathered children's hospitals-within- hospitals to increase the number of beds without resulting in the loss of grandfathered status. We also solicit comments on potential revisions to the laboratory date of service policy under the Clinical Laboratory Fee Schedule. Finally, we solicit comments on an appropriate remedy in litigation involving our OPPS payment policy for 340B- acquired drugs, which would inform future rulemaking in the event of an adverse decision on appeal in that litigation.	Medicare Program: Proposed Changes to Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Price Transparency of Hospital Standard Charges; Proposed Revisions of Organ Procurement Organizations Conditions of Coverage; Proposed Prior Authorization Process and Requirements for Certain Covered Outpatient Department Services; Potential Changes to the Laboratory Date of Service Policy; Proposed Changes to Grandfathered Children's Hospitals-Within-Hospitals
We are proposing to revise the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2020 and to implement certain recent legislation. We also are proposing to make changes relating to Medicare graduate medical education (GME) for teaching hospitals and payments to critical access hospital (CAHs). In addition, we are proposing to provide the market basket update that would apply to the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis, subject to these limits for FY 2020. We are proposing to update the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2020. In this proposed rule, we are including proposals to address wage index disparities between high and low wage index hospitals; to provide for an alternative IPPS new technology add-on payment pathway for certain transformative new devices; and to revise the calculation of the IPPS new technology add-on payment. In addition, we are requesting public comments on the substantial clinical improvement criterion used for evaluating applications for both the IPPS new technology add-on payment and the OPPS transitional pass- through payment for devices, and we discuss potential revisions that we are considering adopting as final policies related to the substantial clinical improvement criterion for applications received beginning in FY 2020 for IPPS (that is, for FY 2021 and later new technology add-on payments) and beginning in CY 2020 for the OPPS. We are proposing to establish new requirements or revise existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS-exempt cancer hospitals, and LTCHs). We also are proposing to establish new requirements and revise existing requirements for eligible hospitals and critical access hospitals (CAHs) participating in the Medicare and Medicaid Promoting Interoperability Programs. We are proposing to update policies for the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program.	Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Proposed Policy Changes and Fiscal Year 2020 Rates; Proposed Quality Reporting Requirements for Specific Providers; Medicare and Medicaid Promoting Interoperability Programs Proposed Requirements for Eligible Hospitals and Critical Access Hospitals
This proposed rule would implement certain provisions of the 21st Century Cures Act, including conditions and maintenance of certification requirements for health information technology (health IT) developers under the ONC Health IT Certification Program (Program), the voluntary certification of health IT for use by pediatric health care providers, and reasonable and necessary activities that do not constitute information blocking. The implementation of these provisions would advance interoperability and support the access, exchange, and use of electronic health information. The proposed rule would also modify the 2015 Edition health IT certification criteria and Program in additional ways to advance interoperability, enhance health IT certification, and reduce burden and costs.	21st Century Cures Act: Interoperability, Information Blocking, and the ONC Health IT Certification Program
This major final rule addresses changes to the Medicare physician fee schedule (PFS) and other Medicare Part B payment policies to ensure that our payment systems are updated to reflect changes in medical practice and the relative value of services, as well as changes in the statute. This final rule also finalizes policies included in the interim final rule with comment period in ``Medicare Program; CY 2018 Updates to the Quality Payment Program; and Quality Payment Program: Extreme and Uncontrollable Circumstance Policy for the Transition Year'' that address the extreme and uncontrollable circumstances MIPS eligible clinicians faced as a result of widespread catastrophic events affecting a region or locale in CY 2017, such as Hurricanes Irma, Harvey and Maria. In addition, this final rule addresses a subset of the changes to the Medicare Shared Savings Program for Accountable Care Organizations (ACOs) proposed in the August 2018 proposed rule ``Medicare Program; Medicare Shared Savings Program; Accountable Care Organizations--Pathways to Success''. This final rule also addresses certain other revisions designed to update program policies under the Shared Savings Program. The interim final rule implements amendments made by the SUPPORT for Patients and Communities Act to the Medicare telehealth provisions in the Social Security Act and regarding permissible telehealth originating sites for purposes of treatment of a substance use disorder or a co-occurring mental health disorder for telehealth services furnished on or after July 1, 2019 to an individual with a substance use disorder diagnosis.	Medicare Program; Revisions to Payment Policies Under the Physician Fee Schedule and Other Revisions to Part B for CY 2019; Medicare Shared Savings Program Requirements; Quality Payment Program; Medicaid Promoting Interoperability Program; Quality Payment Program-Extreme and Uncontrollable Circumstance Policy for the 2019 MIPS Payment Year; Provisions From the Medicare Shared Savings Program-Accountable Care Organizations-Pathways to Success; and Expanding the Use of Telehealth Services for the Treatment of Opioid Use Disorder Under the Substance Use-Disorder Prevention That Promotes Opioid Recovery and Treatment (SUPPORT) for Patients and Communities Act
The National Institute for Occupational Safety and Health of the Centers for Disease Control and Prevention has recently established the Center for Occupational Robotics Research. NIOSH is requesting information to guide the prioritization of research to be undertaken by the Center. NIOSH is seeking input on priority gaps in knowledge on the safety and health of humans working with robotics technology, with an emphasis on worker safety and health research which is unlikely to be completed by other federal agencies, academia, and the private sector.	Occupational Robotics Research Prioritization
