document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type
2019-24483,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2019-11-12,,,Notice Pursuant to the National Cooperative Research and Production Act of 1993-Naval Surface Technology & Innovation Consortium,[],Notice
2019-24138,"This final rule with comment period revises the Medicare hospital outpatient prospective payment system (OPPS) and the Medicare ambulatory surgical center (ASC) payment system for Calendar Year 2020 based on our continuing experience with these systems. In this final rule with comment period, we describe the changes to the amounts and factors used to determine the payment rates for Medicare services paid under the OPPS and those paid under the ASC payment system. Also, this final rule with comment period updates and refines the requirements for the Hospital Outpatient Quality Reporting (OQR) Program and the ASC Quality Reporting (ASCQR) Program. In addition, this final rule with comment period establishes a process and requirements for prior authorization for certain covered outpatient department services; revise the conditions for coverage of organ procurement organizations; and revise the regulations to allow grandfathered children's hospitals- within-hospitals to increase the number of beds without resulting in the loss of grandfathered status; and provides notice of the closure of two teaching hospitals and the opportunity to apply for available slots for purposes of indirect medical education (IME) and direct graduate medical education (DGME) payments.",Final rule with comment period.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2020-01-01,2019-11-12,False,,Medicare Program: Changes to Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Revisions of Organ Procurement Organizations Conditions of Coverage; Prior Authorization Process and Requirements for Certain Covered Outpatient Department Services; Potential Changes to the Laboratory Date of Service Policy; Changes to Grandfathered Children's Hospitals-Within-Hospitals; Notice of Closure of Two Teaching Hospitals and Opportunity To Apply for Available Slots,"['Administrative practice and procedure', 'Biologics', 'Drugs', 'Health facilities', 'Health professions', 'Hospitals', 'Kidney diseases', 'Laboratories', 'Medical devices', 'Medicare', 'Puerto Rico', 'Reporting and recordkeeping requirements', 'Rural areas', 'X-rays']",Rule
2019-24063,"This final rule updates and makes revisions to the End-Stage Renal Disease (ESRD) Prospective Payment System (PPS) for calendar year (CY) 2020. This rule also updates the payment rate for renal dialysis services furnished by an ESRD facility to individuals with acute kidney injury (AKI). This rule also updates requirements for the ESRD Quality Incentive Program (QIP). In addition, this rule establishes a methodology for calculating fee schedule payment amounts for new Durable Medical Equipment, Prosthetics, Orthotics and Supplies (DMEPOS) items and services, and a methodology for making adjustments to the fee schedule amounts established using supplier or commercial prices if such prices decrease within 5 years of establishing the initial fee schedule amounts. This rule also revises existing regulations related to the DMEPOS competitive bidding program. This rule also streamlines the requirements for ordering DMEPOS items, and develops a new list of DMEPOS items potentially subject to a face-to-face encounter, written orders prior to delivery and/or prior authorization requirements. Finally, this rule summarizes responses to requests for information on data collection resulting from the ESRD PPS technical expert panel, changing the basis for the ESRD PPS wage index, and new requirements for the competitive bidding of diabetic testing strips.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2020-01-01,2019-11-08,False,,"Medicare Program; End-Stage Renal Disease Prospective Payment System, Payment for Renal Dialysis Services Furnished to Individuals With Acute Kidney Injury, End-Stage Renal Disease Quality Incentive Program, Durable Medical Equipment, Prosthetics, Orthotics and Supplies (DMEPOS) Fee Schedule Amounts, DMEPOS Competitive Bidding Program (CBP) Amendments, Standard Elements for a DMEPOS Order, and Master List of DMEPOS Items Potentially Subject to a Face-to-Face Encounter and Written Order Prior to Delivery and/or Prior Authorization Requirements","['Administrative practice and procedure', 'Drugs', 'Health facilities', 'Health professions', 'Laboratories', 'Medical devices', 'Medicare', 'Reporting and recordkeeping requirements', 'Rural areas', 'X-rays']",Rule
2019-20788,"The Employment and Training Administration (ETA) of the Department of Labor (Department) proposes to expand protection and support for U.S. workers adversely impacted by foreign trade by revising its Trade Adjustment Assistance (TAA) for Workers program (TAA Program) regulations. The proposed rule (NPRM) would, among other improvements, make it easier for workers to qualify for job search and relocation allowances, increase those allowances in line with statute, expand training to include more flexibility for apprenticeships, ensure workers have access to individualized assessments, make it easier for groups of workers to apply for benefits, and offer assistance to additional categories of workers, including by helping workers in jobs threatened by foreign trade to receive training and support to transition to new employment.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Employment and Training Administration', 'name': 'Employment and Training Administration', 'id': 133, 'url': 'https://www.federalregister.gov/agencies/employment-and-training-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/133.json', 'parent_id': 271, 'slug': 'employment-and-training-administration'}]","['Labor Department', 'Employment and Training Administration']",2019-12-09,2019-11-07,True,,Trade Adjustment Assistance for Workers,"['Administrative practice and procedure', 'Employment', 'Fraud', 'Grant programs-labor', 'Grant programs-labor', 'Manpower training programs', 'Relocation assistance', 'Reporting and recordkeeping requirements', 'Trade adjustment assistance']",Proposed Rule
2019-21260,"The Securities and Exchange Commission (the ``SEC'' or the ``Commission'') is proposing amendments to 17 CFR 240.15c2-11 (the ``Rule'') under the Securities Exchange Act of 1934 (the ``Exchange Act''). The Rule governs the publication of quotations for securities in a quotation medium other than a national securities exchange, i.e., over-the-counter (``OTC'') securities. The Commission is proposing to provide greater transparency to investors and other market participants by requiring that information about the issuer and the security be current and publicly available; limit certain existing exceptions to the Rule, including the ``piggyback exception,'' to provide greater protections to retail investors; reduce regulatory burdens on broker- dealers for the publication of quotations of certain OTC securities that may be less susceptible to potential fraud and manipulation, such as securities of certain issuers with higher capitalization and securities that were issued in underwritten offerings; and streamline the Rule, remove obsolete provisions without undermining the important investor protections of the Rule, and make technical, non-substantive changes. The Commission is also seeking comment about information repositories.",Proposed rule and concept release.,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2019-10-30,False,,Publication or Submission of Quotations Without Specified Information,"['Administrative practice and procedure', 'Reporting and recordkeeping requirements', 'Securities']",Proposed Rule
2019-22684,The Department of Health and Human Services (``HHS'' or ``Department'') has established scientific and technical guidelines for the inclusion of oral fluid specimens in the Mandatory Guidelines for Federal Workplace Drug Testing Programs (Guidelines).,Issuance of guidelines.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}]",['Health and Human Services Department'],2020-01-01,2019-10-25,True,,Mandatory Guidelines for Federal Workplace Drug Testing Programs-Oral/Fluid,[],Rule
2019-22027,"This proposed rule is being issued by the Office of Inspector General (OIG) in conjunction with the Department of Health and Human Services' Regulatory Sprint to Coordinated Care. It proposes to add, on a prospective basis only after a final rule is issued, safe harbor protections under the Federal anti-kickback statute for certain coordinated care and associated value-based arrangements between or among clinicians, providers, suppliers, and others that squarely meet all safe harbor conditions. It also would add protections under the anti-kickback statute and civil monetary penalty (CMP) law that prohibits inducements offered to patients for certain patient engagement and support arrangements to improve quality of care, health outcomes, and efficiency of care delivery that squarely meet all safe harbor conditions. The proposed rule would add a new safe harbor for donations of cybersecurity technology and amend the existing safe harbors for electronic health records (EHR) arrangements, warranties, local transportation, and personal services and management contracts. Further, the proposed rule would add a new safe harbor pursuant to a statutory change set forth in the Bipartisan Budget Act of 2018 (Budget Act of 2018) related to beneficiary incentives under the Medicare Shared Savings Program and a new CMP exception for certain telehealth technologies offered to patients receiving in-home dialysis, also pursuant to the Budget Act of 2018.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}]",['Health and Human Services Department'],,2019-10-17,False,,"Medicare and State Healthcare Programs: Fraud and Abuse; Revisions To Safe Harbors Under the Anti-Kickback Statute, and Civil Monetary Penalty Rules Regarding Beneficiary Inducements","['Administrative practice and procedure', 'Fraud', 'Grant programs-health', 'Health facilities', 'Health professions', 'Maternal and child health', 'Medicaid', 'Medicare', 'Reporting and recordkeeping requirements', 'Social security']",Proposed Rule
2019-22325,"This final rule amends the REAL ID regulation to clarify that the October 1, 2020, deadline by which Federal agencies may no longer accept non-compliant driver's licenses and identification cards for official purposes applies to all non-compliant cards, including state- issued driver's licenses and identification cards marked to indicate that they may not be used for official Federal purposes. This regulation is consistent with enforcement dates in previous DHS public statements, information posted on the DHS website, and communication with industry stakeholders.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}]",['Homeland Security Department'],2019-10-15,2019-10-15,False,,Minimum Standards for Driver's Licenses and Identification Cards Acceptable by Federal Agencies for Official Purposes; Deadline for No Longer Accepting Non-Compliant Driver's Licenses and Identification Cards for Official Purposes,[],Rule
2019-21852,The National Institute of Standards and Technology (NIST) invites organizations to provide products and technical expertise to support and demonstrate security platforms for Securing the Industrial Internet of Things (IIoT) for the energy sector use case. This notice is the initial step for the National Cybersecurity Center of Excellence (NCCoE) in collaborating with technology companies to address cybersecurity challenges identified under the energy sector program. Participation in the use case is open to all interested organizations.,Notice.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Institute of Standards and Technology', 'name': 'National Institute of Standards and Technology', 'id': 352, 'url': 'https://www.federalregister.gov/agencies/national-institute-of-standards-and-technology', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/352.json', 'parent_id': 54, 'slug': 'national-institute-of-standards-and-technology'}]","['Commerce Department', 'National Institute of Standards and Technology']",,2019-10-08,,,National Cybersecurity Center of Excellence (NCCoE) Securing the Industrial Internet of Things for the Energy Sector,[],Notice
2019-21769,"The U.S. Department of Transportation (DOT) is issuing updated guidelines to implement section 515 of the Treasury and General Government Appropriations Act for FY 2001. The Office of Management and Budget (OMB) has issued Government-wide guidelines under Section 515 which direct each Federal agency to establish and implement written procedures to ensure and maximize the quality, utility, objectivity and integrity of the information that they disseminate. OMB has directed each agency to update its guidelines in accordance with the requirements of OMB Memorandum M-19-15.",Updated guidelines.,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}]",['Transportation Department'],,2019-10-07,,,Information Dissemination Quality Guidelines,[],Notice
