document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2019-24138,"This final rule with comment period revises the Medicare hospital outpatient prospective payment system (OPPS) and the Medicare ambulatory surgical center (ASC) payment system for Calendar Year 2020 based on our continuing experience with these systems. In this final rule with comment period, we describe the changes to the amounts and factors used to determine the payment rates for Medicare services paid under the OPPS and those paid under the ASC payment system. Also, this final rule with comment period updates and refines the requirements for the Hospital Outpatient Quality Reporting (OQR) Program and the ASC Quality Reporting (ASCQR) Program. In addition, this final rule with comment period establishes a process and requirements for prior authorization for certain covered outpatient department services; revise the conditions for coverage of organ procurement organizations; and revise the regulations to allow grandfathered children's hospitals- within-hospitals to increase the number of beds without resulting in the loss of grandfathered status; and provides notice of the closure of two teaching hospitals and the opportunity to apply for available slots for purposes of indirect medical education (IME) and direct graduate medical education (DGME) payments.",Final rule with comment period.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2020-01-01,2019-11-12,False,,Medicare Program: Changes to Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Revisions of Organ Procurement Organizations Conditions of Coverage; Prior Authorization Process and Requirements for Certain Covered Outpatient Department Services; Potential Changes to the Laboratory Date of Service Policy; Changes to Grandfathered Children's Hospitals-Within-Hospitals; Notice of Closure of Two Teaching Hospitals and Opportunity To Apply for Available Slots,"['Administrative practice and procedure', 'Biologics', 'Drugs', 'Health facilities', 'Health professions', 'Hospitals', 'Kidney diseases', 'Laboratories', 'Medical devices', 'Medicare', 'Puerto Rico', 'Reporting and recordkeeping requirements', 'Rural areas', 'X-rays']",Rule,Artificial Intelligence
2019-24483,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2019-11-12,,,Notice Pursuant to the National Cooperative Research and Production Act of 1993-Naval Surface Technology & Innovation Consortium,[],Notice,Artificial Intelligence
2019-23638,"The United States Patent and Trademark Office (``USPTO'') is gathering information about the impact of artificial intelligence (``AI'') technologies on intellectual property law and policy. To assist in gathering this information, on August 27, 2019, the USPTO published questions related to the impact of artificial intelligence inventions on patent law and policy and asked the public for written comments. Those questions cover a variety of topics, including whether revisions to intellectual property protection are needed. The present notice extends this inquiry to copyright, trademark, and other intellectual property rights impacted by AI.",Request for comments.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'Patent and Trademark Office', 'name': 'Patent and Trademark Office', 'id': 402, 'url': 'https://www.federalregister.gov/agencies/patent-and-trademark-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/402.json', 'parent_id': 54, 'slug': 'patent-and-trademark-office'}]","['Commerce Department', 'Patent and Trademark Office']",,2019-10-30,,,Request for Comments on Intellectual Property Protection for Artificial Intelligence Innovation,[],Notice,Artificial Intelligence
2019-23525,,,"[{'raw_name': 'EXECUTIVE OFFICE OF THE PRESIDENT', 'name': 'Executive Office of the President', 'id': 538, 'url': 'https://www.federalregister.gov/agencies/executive-office-of-the-president', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/538.json', 'parent_id': None, 'slug': 'executive-office-of-the-president'}]",['Executive Office of the President'],,2019-10-25,,Executive Order,President's Council of Advisors on Science and Technology,[],Presidential Document,Artificial Intelligence
2019-22653,"Notice is hereby given of the following open public event of the U.S.-China Economic and Security Review Commission. The Commission is mandated by Congress to investigate, assess, and report to Congress annually on ``the national security implications of the economic relationship between the United States and the People's Republic of China.'' Pursuant to this mandate, the Commission will hold a public release of its 2019 Annual Report to Congress in Washington, DC on November 14, 2019.",Notice of open public event.,"[{'raw_name': 'U.S.-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION', 'name': 'U.S.-China Economic and Security Review Commission', 'id': 505, 'url': 'https://www.federalregister.gov/agencies/u-s-china-economic-and-security-review-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/505.json', 'parent_id': None, 'slug': 'u-s-china-economic-and-security-review-commission'}]",['U.S.-China Economic and Security Review Commission'],,2019-10-17,,,Notice of Open Public Event,[],Notice,Artificial Intelligence
2019-22073,,,"[{'raw_name': 'EXECUTIVE OFFICE OF THE PRESIDENT', 'name': 'Executive Office of the President', 'id': 538, 'url': 'https://www.federalregister.gov/agencies/executive-office-of-the-president', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/538.json', 'parent_id': None, 'slug': 'executive-office-of-the-president'}]",['Executive Office of the President'],,2019-10-08,,Executive Order,Protecting and Improving Medicare for Our Nation's Seniors,[],Presidential Document,Artificial Intelligence
2019-21943,"OSHA requests information, comments, and documents that would assist the agency in determining whether to adopt a new online delivery model for OSHA's Outreach Training Program. The OSHA Outreach Training Program is a hazard awareness training program that educates participants on the recognition, abatement, and prevention of job- related hazards in the construction, general, and maritime industries, and at disaster sites. The potential new model would be limited to OSHA's 10- and 30-hour Outreach courses for the construction, general, and maritime industries. The new model would not include the disaster site worker training program. OSHA plans to use the information collected from this request to determine whether the new model would address issues associated with the existing model. If the new model were implemented, the agency would develop policies and procedures for the online Outreach Training Program courses to ensure that online providers meet OSHA's expectations for program quality and consistency.",Request for information.,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Occupational Safety and Health Administration', 'name': 'Occupational Safety and Health Administration', 'id': 386, 'url': 'https://www.federalregister.gov/agencies/occupational-safety-and-health-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/386.json', 'parent_id': 271, 'slug': 'occupational-safety-and-health-administration'}]","['Labor Department', 'Occupational Safety and Health Administration']",,2019-10-08,,,Online Delivery of OSHA's Outreach Training Program 10- and 30-Hour Courses,[],Notice,Artificial Intelligence
2019-21763,,,"[{'raw_name': 'EXECUTIVE OFFICE OF THE PRESIDENT', 'name': 'Executive Office of the President', 'id': 538, 'url': 'https://www.federalregister.gov/agencies/executive-office-of-the-president', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/538.json', 'parent_id': None, 'slug': 'executive-office-of-the-president'}]",['Executive Office of the President'],,2019-10-03,,Proclamation,"National Energy Awareness Month, 2019",[],Presidential Document,Artificial Intelligence
2019-21190,"The United States Patent and Trademark Office (USPTO) published a request for comments in the Federal Register on August 27, 2019, seeking public comment on the subject of patenting artificial intelligence inventions. Through this notice, the USPTO is extending the period for public comment until November 8, 2019.",Request for comments; extension of comment period.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'Patent and Trademark Office', 'name': 'Patent and Trademark Office', 'id': 402, 'url': 'https://www.federalregister.gov/agencies/patent-and-trademark-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/402.json', 'parent_id': 54, 'slug': 'patent-and-trademark-office'}]","['Commerce Department', 'Patent and Trademark Office']",,2019-09-30,,,Request for Comments on Patenting Artificial Intelligence Inventions,[],Notice,Artificial Intelligence
2019-20229,"The Food and Drug Administration (FDA, the Agency, or we) is announcing the following public meeting entitled ``A New Era of Smarter Food Safety'' to get input from a broad cross-section of stakeholders on a modern approach the Agency is taking to strengthen its protection of the food supply. The purpose of this meeting is to foster a dialogue with our domestic and international regulatory and public health partners, industry, consumers, academia, and others. The input received at this meeting, and in comments submitted to the docket, will be used to shape an FDA Blueprint for a New Era of Smarter Food Safety. This Blueprint will outline how this modern approach will address public health challenges, ranging from being able to trace sources of contaminated foods, to using new predictive analytics tools like artificial intelligence to assess risks, and help prioritize the Agency's work and resources.",Notice of public meeting; request for comments.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2019-09-18,,,"A New Era of Smarter Food Safety; Public Meeting, Request for Comments",[],Notice,Artificial Intelligence
