document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2019-24483,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2019-11-12,,,Notice Pursuant to the National Cooperative Research and Production Act of 1993-Naval Surface Technology & Innovation Consortium,[],Notice,Big Data
2019-13351,"On March 18, 2019 the National Institute for Occupational Safety and Health (NIOSH) of the Centers for Disease Control and Prevention (CDC) published a notice in the Federal Register announcing that NIOSH had recently established a research program to address the rapidly expanding area of automation and associated technologies in mining, and that NIOSH was requesting information to inform the prioritization of research to be undertaken by The Institute's Mining Program. NIOSH is seeking input on priority gaps in knowledge regarding the safety and health implications of humans working with automated equipment and associated technologies in mining, with an emphasis on worker safety and health research in which NIOSH has the comparative advantage, and is unlikely to be undertaken by other federal agencies, academia, or the private sector. Written comments were to be received by May 17, 2019. In response to a request from an interested party, NIOSH is announcing the reopening of the comment period.",Notice and reopening of comment period.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2019-06-24,,,Mining Automation and Safety Research Prioritization; Reopening of Comment Period,[],Notice,Big Data
2019-10343,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2019-05-20,,,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-ODPI, Inc.",[],Notice,Big Data
2019-09750,,,"[{'raw_name': 'EXECUTIVE OFFICE OF THE PRESIDENT', 'name': 'Executive Office of the President', 'id': 538, 'url': 'https://www.federalregister.gov/agencies/executive-office-of-the-president', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/538.json', 'parent_id': None, 'slug': 'executive-office-of-the-president'}]",['Executive Office of the President'],,2019-05-09,,Executive Order,America's Cybersecurity Workforce,[],Presidential Document,Big Data
2019-08330,"We are proposing to revise the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2020 and to implement certain recent legislation. We also are proposing to make changes relating to Medicare graduate medical education (GME) for teaching hospitals and payments to critical access hospital (CAHs). In addition, we are proposing to provide the market basket update that would apply to the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis, subject to these limits for FY 2020. We are proposing to update the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2020. In this proposed rule, we are including proposals to address wage index disparities between high and low wage index hospitals; to provide for an alternative IPPS new technology add-on payment pathway for certain transformative new devices; and to revise the calculation of the IPPS new technology add-on payment. In addition, we are requesting public comments on the substantial clinical improvement criterion used for evaluating applications for both the IPPS new technology add-on payment and the OPPS transitional pass- through payment for devices, and we discuss potential revisions that we are considering adopting as final policies related to the substantial clinical improvement criterion for applications received beginning in FY 2020 for IPPS (that is, for FY 2021 and later new technology add-on payments) and beginning in CY 2020 for the OPPS. We are proposing to establish new requirements or revise existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS-exempt cancer hospitals, and LTCHs). We also are proposing to establish new requirements and revise existing requirements for eligible hospitals and critical access hospitals (CAHs) participating in the Medicare and Medicaid Promoting Interoperability Programs. We are proposing to update policies for the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2019-05-03,False,,Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Proposed Policy Changes and Fiscal Year 2020 Rates; Proposed Quality Reporting Requirements for Specific Providers; Medicare and Medicaid Promoting Interoperability Programs Proposed Requirements for Eligible Hospitals and Critical Access Hospitals,"['Administrative practice and procedure', 'Health facilities', 'Health maintenance organizations (HMO)', 'Health professions', 'Kidney diseases', 'Medicaid', 'Medicare', 'Penalties', 'Privacy', 'Puerto Rico', 'Reporting and recordkeeping requirements']",Proposed Rule,Big Data
2019-04926,"The National Institute for Occupational Safety and Health (NIOSH) of the Centers for Disease Control and Prevention (CDC) has recently established a research program to address the rapidly expanding area of automation and associated technologies in mining. NIOSH is requesting information to inform the prioritization of research to be undertaken by The Institute's Mining Program. NIOSH is seeking input on priority gaps in knowledge regarding the safety and health implications of humans working with automated equipment and associated technologies in mining, with an emphasis on worker safety and health research in which NIOSH has the comparative advantage, and is unlikely to be undertaken by other federal agencies, academia, or the private sector.",Request for information and comment.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2019-03-18,,,Mining Automation and Safety Research Prioritization,[],Notice,Big Data
2019-04433,U.S. Customs and Border Protection (CBP) is announcing the re- opening of the public comment period on the six key themes identified by ``The 21st Century Customs Framework'' initiative.,Re-opening of comment period.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'U.S. Customs and Border Protection', 'name': 'U.S. Customs and Border Protection', 'id': 501, 'url': 'https://www.federalregister.gov/agencies/u-s-customs-and-border-protection', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/501.json', 'parent_id': 227, 'slug': 'u-s-customs-and-border-protection'}]","['Homeland Security Department', 'U.S. Customs and Border Protection']",,2019-03-12,,,Announcing the Re-Opening of the Public Comment Period for 21st Century Customs Framework,[],Notice,Big Data
2019-02224,"This proposed rule would implement certain provisions of the 21st Century Cures Act, including conditions and maintenance of certification requirements for health information technology (health IT) developers under the ONC Health IT Certification Program (Program), the voluntary certification of health IT for use by pediatric health care providers, and reasonable and necessary activities that do not constitute information blocking. The implementation of these provisions would advance interoperability and support the access, exchange, and use of electronic health information. The proposed rule would also modify the 2015 Edition health IT certification criteria and Program in additional ways to advance interoperability, enhance health IT certification, and reduce burden and costs.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2019-03-04,False,,"21st Century Cures Act: Interoperability, Information Blocking, and the ONC Health IT Certification Program","['Computer technology', 'Health', 'Health care', 'Health insurance', 'Health records', 'Hospitals', 'Laboratories', 'Medicaid', 'Medicare', 'Privacy', 'Public health', 'Reporting and recordkeeping requirements']",Proposed Rule,Big Data
2019-02844,This notice announces a meeting of the Electricity Advisory Committee. The Federal Advisory Committee Act requires that public notice of these meetings be announced in the Federal Register.,Notice of open meeting.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2019-02-21,,,Electricity Advisory Committee,[],Notice,Big Data
2018-28404,The Bureau of Consumer Financial Protection (Bureau) is issuing final policy guidance describing modifications that the Bureau intends to apply to the loan-level data that financial institutions report under the Home Mortgage Disclosure Act (HMDA) and Regulation C before the data is disclosed to the public. This final policy guidance applies to HMDA data compiled by financial institutions in or after 2018 and made available to the public by the Bureau beginning in 2019.,Final policy guidance.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2019-01-31,,,Disclosure of Loan-Level HMDA Data,[],Notice,Big Data
