document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2019-23856,"The NCUA's draft, ``detailed business-type budget'' is being made available for public review as required by federal statute. The proposed resources will finance the agency's annual operations and capital projects, both of which are necessary for the agency to accomplish its mission. The briefing schedule and comment instructions are included in the supplementary information section.",Notice.,"[{'raw_name': 'NATIONAL CREDIT UNION ADMINISTRATION', 'name': 'National Credit Union Administration', 'id': 335, 'url': 'https://www.federalregister.gov/agencies/national-credit-union-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/335.json', 'parent_id': None, 'slug': 'national-credit-union-administration'}]",['National Credit Union Administration'],,2019-11-01,,,The NCUA Staff Draft 2020-2021 Budget Justification,[],Notice,Business Intelligence
2019-23634,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2019-10-30,,,Notice Pursuant to the National Cooperative Research and Production Act of 1993-TeleManagement Forum,[],Notice,Business Intelligence
2019-07842,"The FTC is making technical revisions to several of the notices that it has published under the Privacy Act of 1974 to describe its systems of records. This action is intended to make these notices clearer, more accurate, and up-to-date.",Notice of modified systems of records.,"[{'raw_name': 'FEDERAL TRADE COMMISSION', 'name': 'Federal Trade Commission', 'id': 192, 'url': 'https://www.federalregister.gov/agencies/federal-trade-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/192.json', 'parent_id': None, 'slug': 'federal-trade-commission'}]",['Federal Trade Commission'],2019-04-19,2019-04-19,,,Privacy Act of 1974; System of Records,[],Notice,Business Intelligence
2019-05739,"Pursuant to the Privacy Act of 1974, the National Credit Union Administration (NCUA) gives notice of a new proposed Privacy Act system of records. The new proposed system is the Examination and Supervision System (ESS), NCUA-22. The ESS will be used for NCUA's statutorily mandated examination and supervision activities, including the coordination and conduct of examinations of credit unions, supervisory evaluations and analyses, enforcement actions and Federal court actions. NCUA may coordinate with other financial regulatory agencies on matters related to the safety and soundness of credit unions. This system will track and store examination and supervision documents created during the performance of the NCUA's statutory duties.",Notice of a new system of records.,"[{'raw_name': 'NATIONAL CREDIT UNION ADMINISTRATION', 'name': 'National Credit Union Administration', 'id': 335, 'url': 'https://www.federalregister.gov/agencies/national-credit-union-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/335.json', 'parent_id': None, 'slug': 'national-credit-union-administration'}]",['National Credit Union Administration'],2019-04-25,2019-03-26,,,Privacy Act of 1974: Systems of Records,[],Notice,Business Intelligence
2019-03486,"In follow-up to the Indian Health Service (IHS) request for comments on the Draft IHS Strategic Plan Fiscal Year (FY) 2018-2022 issued in the Federal Register (FR) on July 24, 2018, (see 83 FR 35012; July 24, 2018; hereafter ``July 2018 FR document''), the IHS is announcing the final plan entitled: IHS Strategic Plan FY 2019-2023. The IHS is also making available on the IHS Strategic Plan website, a response to comments document that addresses comments received on the Draft IHS Strategic Plan from the July 2018 FR document.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Indian Health Service', 'name': 'Indian Health Service', 'id': 237, 'url': 'https://www.federalregister.gov/agencies/indian-health-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/237.json', 'parent_id': 221, 'slug': 'indian-health-service'}]","['Health and Human Services Department', 'Indian Health Service']",,2019-02-28,,,Indian Health Service Strategic Plan Fiscal Year 2019-2023,[],Notice,Business Intelligence
2018-27295,,,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Employment and Training Administration', 'name': 'Employment and Training Administration', 'id': 133, 'url': 'https://www.federalregister.gov/agencies/employment-and-training-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/133.json', 'parent_id': 271, 'slug': 'employment-and-training-administration'}]","['Labor Department', 'Employment and Training Administration']",,2018-12-18,,,Notice of Determinations Regarding Eligibility To Apply for Trade Adjustment Assistance,[],Notice,Business Intelligence
2018-21282,The NCUA draft detailed business-type budget is being made available for public review as required by federal statute. The proposed resources will support the agency's annual operations and continue implementation of the agency's reorganization plan. The briefing schedule and comment instructions are included in the supplementary information section.,Notice.,"[{'raw_name': 'NATIONAL CREDIT UNION ADMINISTRATION', 'name': 'National Credit Union Administration', 'id': 335, 'url': 'https://www.federalregister.gov/agencies/national-credit-union-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/335.json', 'parent_id': None, 'slug': 'national-credit-union-administration'}]",['National Credit Union Administration'],,2018-10-02,,,The NCUA Staff Draft 2019-2020 Budget Justification,[],Notice,Business Intelligence
2018-20035,"On August 28, 2018, the Department of Defense published a system of records notice that proposed to modify Data Warehouse Business Intelligence System (DWBIS), N05220-1. Subsequent to the publication of the notice, DoD discovered that the docket ID had published incorrectly. This notice corrects that error.",Notice of a modified system of records; correction.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Navy', 'name': 'Navy Department', 'id': 378, 'url': 'https://www.federalregister.gov/agencies/navy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/378.json', 'parent_id': 103, 'slug': 'navy-department'}]","['Defense Department', 'Navy Department']",2018-09-14,2018-09-14,,,Privacy Act of 1974; System of Records; Correction,[],Notice,Business Intelligence
2018-18587,"The Department of the Navy proposes to modify a system of records notice: Data Warehouse Business Intelligence System (DWBIS), N05220-1, to be compliant with the OMB Circular A-108; by updating contact information for the system manager; by expanding the categories of individuals covered by the system to include the Space and Naval Warfare Systems Command (SPAWAR) and its two systems centers; by updating the categories of records for these individuals, and by providing routine uses that are consistent within the Federal Government. This is necessary to allow a single system to be used for all of SPAWAR to manage workforce education, training, skills, and experience required for the development of its Acquisition Workforce, Cyber Security, and Information Warfare workforce.",Notice of a modified system of records.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Navy', 'name': 'Navy Department', 'id': 378, 'url': 'https://www.federalregister.gov/agencies/navy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/378.json', 'parent_id': 103, 'slug': 'navy-department'}]","['Defense Department', 'Navy Department']",,2018-08-28,,,Privacy Act of 1974; System of Records,[],Notice,Business Intelligence
2018-15740,"The Indian Health Service (IHS) is developing an Agency-wide Strategic Plan to guide the work and strengthen partnerships with Tribes and Urban Indian Organizations. The IHS is seeking public comment on its Draft IHS Strategic Plan fiscal year (FY) 2018-2022 (Draft IHS Strategic Plan FY 2018-2022). Additionally, notice is given that the IHS will conduct a Tribal Consultation and Urban Indian Confer regarding the Draft IHS Strategic Plan FY 2018-2022. In addition to the virtual town hall sessions, the IHS will seek other opportunities to solicit input from Tribal and Urban Indian programs on the Draft IHS Strategic Plan FY 2018-2022 during the comment period. For IHS Strategic Plan events during the comment period, please check the IHS Event Calendar at: https://www.ihs.gov/ihscalendar/.",Request for comments; notice of Tribal Consultation and Urban Indian Confer.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Indian Health Service', 'name': 'Indian Health Service', 'id': 237, 'url': 'https://www.federalregister.gov/agencies/indian-health-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/237.json', 'parent_id': 221, 'slug': 'indian-health-service'}]","['Health and Human Services Department', 'Indian Health Service']",,2018-07-24,,,Draft Indian Health Service Strategic Plan Fiscal Year 2018-2022,[],Notice,Business Intelligence
2018-11125,The Administration for Children and Families (ACF) has realigned The Office of the Deputy Assistant Secretary for Administration (ODASA). This realignment removes the Office of the Chief Information Officer as a direct report to the Assistant Secretary for Children and Families and realigns the Office within the ODASA. It moves the National Grants Center of Excellence to the ODASA's Immediate Office. It also removes the Ethics and Facilities team from the Immediate Office of the ODASA and places the functions in the Office of Workforce Planning and Development.,Notice: Realignment of the Office of the Deputy Assistant Secretary for Administration.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Administration for Children and Families', 'name': 'Children and Families Administration', 'id': 49, 'url': 'https://www.federalregister.gov/agencies/children-and-families-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/49.json', 'parent_id': 221, 'slug': 'children-and-families-administration'}]","['Health and Human Services Department', 'Children and Families Administration']",,2018-05-24,,,"Office of the Deputy Assistant Secretary for Administration Statement of Organization, Functions, and Delegations of Authority",[],Notice,Business Intelligence
