document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2019-24138,"This final rule with comment period revises the Medicare hospital outpatient prospective payment system (OPPS) and the Medicare ambulatory surgical center (ASC) payment system for Calendar Year 2020 based on our continuing experience with these systems. In this final rule with comment period, we describe the changes to the amounts and factors used to determine the payment rates for Medicare services paid under the OPPS and those paid under the ASC payment system. Also, this final rule with comment period updates and refines the requirements for the Hospital Outpatient Quality Reporting (OQR) Program and the ASC Quality Reporting (ASCQR) Program. In addition, this final rule with comment period establishes a process and requirements for prior authorization for certain covered outpatient department services; revise the conditions for coverage of organ procurement organizations; and revise the regulations to allow grandfathered children's hospitals- within-hospitals to increase the number of beds without resulting in the loss of grandfathered status; and provides notice of the closure of two teaching hospitals and the opportunity to apply for available slots for purposes of indirect medical education (IME) and direct graduate medical education (DGME) payments.",Final rule with comment period.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2020-01-01,2019-11-12,False,,Medicare Program: Changes to Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Revisions of Organ Procurement Organizations Conditions of Coverage; Prior Authorization Process and Requirements for Certain Covered Outpatient Department Services; Potential Changes to the Laboratory Date of Service Policy; Changes to Grandfathered Children's Hospitals-Within-Hospitals; Notice of Closure of Two Teaching Hospitals and Opportunity To Apply for Available Slots,"['Administrative practice and procedure', 'Biologics', 'Drugs', 'Health facilities', 'Health professions', 'Hospitals', 'Kidney diseases', 'Laboratories', 'Medical devices', 'Medicare', 'Puerto Rico', 'Reporting and recordkeeping requirements', 'Rural areas', 'X-rays']",Rule,Data Analytics
2019-24483,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2019-11-12,,,Notice Pursuant to the National Cooperative Research and Production Act of 1993-Naval Surface Technology & Innovation Consortium,[],Notice,Data Analytics
2019-23856,"The NCUA's draft, ``detailed business-type budget'' is being made available for public review as required by federal statute. The proposed resources will finance the agency's annual operations and capital projects, both of which are necessary for the agency to accomplish its mission. The briefing schedule and comment instructions are included in the supplementary information section.",Notice.,"[{'raw_name': 'NATIONAL CREDIT UNION ADMINISTRATION', 'name': 'National Credit Union Administration', 'id': 335, 'url': 'https://www.federalregister.gov/agencies/national-credit-union-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/335.json', 'parent_id': None, 'slug': 'national-credit-union-administration'}]",['National Credit Union Administration'],,2019-11-01,,,The NCUA Staff Draft 2020-2021 Budget Justification,[],Notice,Data Analytics
2019-22027,"This proposed rule is being issued by the Office of Inspector General (OIG) in conjunction with the Department of Health and Human Services' Regulatory Sprint to Coordinated Care. It proposes to add, on a prospective basis only after a final rule is issued, safe harbor protections under the Federal anti-kickback statute for certain coordinated care and associated value-based arrangements between or among clinicians, providers, suppliers, and others that squarely meet all safe harbor conditions. It also would add protections under the anti-kickback statute and civil monetary penalty (CMP) law that prohibits inducements offered to patients for certain patient engagement and support arrangements to improve quality of care, health outcomes, and efficiency of care delivery that squarely meet all safe harbor conditions. The proposed rule would add a new safe harbor for donations of cybersecurity technology and amend the existing safe harbors for electronic health records (EHR) arrangements, warranties, local transportation, and personal services and management contracts. Further, the proposed rule would add a new safe harbor pursuant to a statutory change set forth in the Bipartisan Budget Act of 2018 (Budget Act of 2018) related to beneficiary incentives under the Medicare Shared Savings Program and a new CMP exception for certain telehealth technologies offered to patients receiving in-home dialysis, also pursuant to the Budget Act of 2018.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}]",['Health and Human Services Department'],,2019-10-17,False,,"Medicare and State Healthcare Programs: Fraud and Abuse; Revisions To Safe Harbors Under the Anti-Kickback Statute, and Civil Monetary Penalty Rules Regarding Beneficiary Inducements","['Administrative practice and procedure', 'Fraud', 'Grant programs-health', 'Health facilities', 'Health professions', 'Maternal and child health', 'Medicaid', 'Medicare', 'Reporting and recordkeeping requirements', 'Social security']",Proposed Rule,Data Analytics
2019-21254,"Under the provisions of the Paperwork Reduction Act, the Regulatory Secretariat Division is submitting a request to the Office of Management and Budget (OMB) to review and approve an extension of a previously approved information collection requirement regarding General Services Administration Acquisition Regulation (GSAR) clauses related to Transactional Data Reporting. GSA uses this information to establish price reasonableness on certain Government-wide contracts, inform category management activities, collect fees due from buying agencies, and administer the respective programs.",Notice of request for comments regarding an extension to an existing OMB clearance.,"[{'raw_name': 'GENERAL SERVICES ADMINISTRATION', 'name': 'General Services Administration', 'id': 210, 'url': 'https://www.federalregister.gov/agencies/general-services-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/210.json', 'parent_id': None, 'slug': 'general-services-administration'}]",['General Services Administration'],,2019-09-30,,,General Services Administration Acquisition Regulation; Submission for OMB Review; Transactional Data Reporting,[],Notice,Data Analytics
2019-20118,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2019-09-18,,,Center for Scientific Review; Notice of Closed Meetings,[],Notice,Data Analytics
2019-20033,"This notice sets forth the names and titles of the current membership of the Council of the Inspectors General on Integrity and Efficiency (CIGIE) Performance Review Board as of October 1, 2019.",Notice.,"[{'raw_name': 'Council of the Inspectors General on Integrity and Efficiency', 'name': 'Council of the Inspectors General on Integrity and Efficiency', 'id': 578, 'url': 'https://www.federalregister.gov/agencies/council-of-the-inspectors-general-on-integrity-and-efficiency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/578.json', 'parent_id': None, 'slug': 'council-of-the-inspectors-general-on-integrity-and-efficiency'}]",['Council of the Inspectors General on Integrity and Efficiency'],,2019-09-17,,,Senior Executive Service Performance Review Board Membership,[],Notice,Data Analytics
2019-17615,"In accordance with the Privacy Act of 1974, as amended (Privacy Act), the Department of Education (Department) modifies the system of records entitled ``Common Origination and Disbursement (COD) System'' (18-11-02). The COD System is a system of records about applicants for, and recipients of, a Federal grant or loan under any of the Federal student financial assistance programs authorized under title IV of the Higher Education Act of 1965, as amended (HEA). The Department uses the COD system of records to document origination and disbursement of loans, account for awarded grants, reconcile school cash drawdowns from the U.S. Department of the Treasury to individual student disbursements, and ensure that institutions of higher education participating in the HEA programs receive the appropriate amount of funds during the respective time periods.",Notice of a modified system of records.,"[{'raw_name': 'DEPARTMENT OF EDUCATION', 'name': 'Education Department', 'id': 126, 'url': 'https://www.federalregister.gov/agencies/education-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/126.json', 'parent_id': None, 'slug': 'education-department'}]",['Education Department'],,2019-08-16,,,Privacy Act of 1974; System of Records,[],Notice,Data Analytics
2019-16762,"We are revising the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2020 and to implement certain recent legislation. We also are making changes relating to Medicare graduate medical education (GME) for teaching hospitals and payments to critical access hospital (CAHs). In addition, we are providing the market basket update that will apply to the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis, subject to these limits for FY 2020. We are updating the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2020. In this FY 2020 IPPS/LTCH PPS final rule, we are addressing wage index disparities impacting low wage index hospitals; providing for an alternative IPPS new technology add-on payment pathway for certain transformative new devices and qualified infectious disease products; and revising the calculation of the IPPS new technology add-on payment. In addition, we are revising and clarifying our policies related to the substantial clinical improvement criterion used for evaluating applications for the new technology add-on payment under the IPPS. We are establishing new requirements or revising existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS-exempt cancer hospitals, and LTCHs). We also are establishing new requirements and revising existing requirements for eligible hospitals and critical access hospitals (CAHs) participating in the Medicare and Medicaid Promoting Interoperability Programs. We are updating policies for the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2019-10-01,2019-08-16,False,,Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2020 Rates; Quality Reporting Requirements for Specific Providers; Medicare and Medicaid Promoting Interoperability Programs Requirements for Eligible Hospitals and Critical Access Hospitals,"['Administrative practice and procedure', 'Health facilities', 'Health maintenance organizations (HMO)', 'Health professions', 'Kidney diseases', 'Medicaid', 'Medicare', 'Penalties', 'Privacy', 'Puerto Rico', 'Reporting and recordkeeping requirements']",Rule,Data Analytics
2019-16107,"This proposed rule proposes revisions to the Medicare hospital outpatient prospective payment system (OPPS) and the Medicare ambulatory surgical center (ASC) payment system for CY 2020 based on our continuing experience with these systems. In this proposed rule, we describe the proposed changes to the amounts and factors used to determine the payment rates for Medicare services paid under the OPPS and those paid under the ASC payment system. In addition, this proposed rule would update and refine the requirements for the Hospital Outpatient Quality Reporting (OQR) Program and the ASC Quality Reporting (ASCQR) Program. In addition, in this proposed rule, we are proposing to establish requirements for all hospitals in the United States for making hospital standard charges available to the public; establish a process and requirements for prior authorization for certain covered outpatient department services; revise the conditions for coverage of organ procurement organizations; and revise the regulations to allow grandfathered children's hospitals-within- hospitals to increase the number of beds without resulting in the loss of grandfathered status. We also solicit comments on potential revisions to the laboratory date of service policy under the Clinical Laboratory Fee Schedule. Finally, we solicit comments on an appropriate remedy in litigation involving our OPPS payment policy for 340B- acquired drugs, which would inform future rulemaking in the event of an adverse decision on appeal in that litigation.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services', 'Office of the Secretary']",,2019-08-09,False,,Medicare Program: Proposed Changes to Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Price Transparency of Hospital Standard Charges; Proposed Revisions of Organ Procurement Organizations Conditions of Coverage; Proposed Prior Authorization Process and Requirements for Certain Covered Outpatient Department Services; Potential Changes to the Laboratory Date of Service Policy; Proposed Changes to Grandfathered Children's Hospitals-Within-Hospitals,"['Administrative practice and procedure', 'Health facilities', 'Health professions', 'Hospitals', 'Kidney diseases', 'Laboratories', 'Medical devices', 'Medicare', 'Puerto Rico', 'Reporting and recordkeeping requirements', 'Rural areas', 'X-rays']",Proposed Rule,Data Analytics
