document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2019-24529,The National Institutes of Health (NIH) is seeking public comments on a DRAFT NIH Policy for Data Management and Sharing and supplemental DRAFT guidance. The purpose of this DRAFT Policy and supplemental DRAFT guidance is to promote effective and efficient data management and sharing to further NIH's commitment to making the results and accomplishments of the research it funds and conducts available to the public.,Request for comments.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2019-11-08,,,Request for Public Comments on a DRAFT NIH Policy for Data Management and Sharing and Supplemental DRAFT Guidance,[],Notice,Data Science
2019-24104,"The National Aeronautics and Space Administration, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections.",Notice of information collection--renewal of existing information collection.,"[{'raw_name': 'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION', 'name': 'National Aeronautics and Space Administration', 'id': 301, 'url': 'https://www.federalregister.gov/agencies/national-aeronautics-and-space-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/301.json', 'parent_id': None, 'slug': 'national-aeronautics-and-space-administration'}]",['National Aeronautics and Space Administration'],,2019-11-05,,,NASA Datanaut Applicant Selection,[],Notice,Data Science
2019-21629,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2019-10-04,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Data Science
2019-19470,"The Office of Science Technology and Policy (OSTP) requests input from all interested parties on the U.S. Bioeconomy. The Bioeconomy represents the infrastructure, innovation, products, technology, and data derived from biologically-related processes and science that drive economic growth, promote health, and increase public benefit. Through this Request for Information (RFI), OSTP seeks input from the public, including those with capital investments, performing innovative research, or developing enabling platforms and applications in the field of biological sciences, to include healthcare, medicine, pharmaceuticals, biotechnology, manufacturing, energy production, and agriculture. This RFI will inform notable gaps, vulnerabilities, and areas to promote and protect in the U.S. Bioeconomy that may benefit from Federal government attention. The information can include suggestions on those areas of greatest priority within the Bioeconomy, as well as past or future Federal government efforts to build, promote, and sustain the U.S. Bioeconomy. The public input provided in response to this RFI will inform the Executive Office of the President as well as private sector, academia, non-governmental entities, and other stakeholders with interest in and expertise relating to the promotion of a Bioeconomy ecosystem encompassing shared values and core American principles.",Notice of request for information (RFI) for Bioeconomy.,"[{'raw_name': 'OFFICE OF SCIENCE AND TECHNOLOGY POLICY', 'name': 'Science and Technology Policy Office', 'id': 464, 'url': 'https://www.federalregister.gov/agencies/science-and-technology-policy-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/464.json', 'parent_id': None, 'slug': 'science-and-technology-policy-office'}]",['Science and Technology Policy Office'],,2019-09-10,,,Request for Information on the Bioeconomy,[],Notice,Data Science
2019-18945,"The Environmental Protection Agency (EPA) is requesting comment on the proposed list of candidate peer reviewers for the independent, contractor-managed, external peer review of the draft document titled ``Potential Approaches for Characterizing the Estimated Benefits of Reducing PM<INF>2.5</INF> at Low Concentrations.'' This notice provides the names and professional affiliations of the proposed peer reviewers. The public is requested to provide relevant information or documentation on the candidates who are being evaluated by the external peer review contractor, ICF. ICF will consider the public comments on the proposed list of peer reviewers and will select the final peer reviewers who, collectively, best provide expertise spanning the multiple subject matter areas covered by the draft document and, to the extent feasible, best provide a balance of perspectives according to EPA peer review guidance. This notice also provides the public peer review meeting date as well as EPA's website that will provide details about the meeting location and how to register to attend the meeting either in person or remotely.",Notice.,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145.json', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",['Environmental Protection Agency'],,2019-09-03,,,Notice of Public Meeting and Proposed List of Potential Peer Reviewers; Potential Approaches for Characterizing the Estimated Benefits of Reducing PM2.5,[],Notice,Data Science
2019-18469,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2019-08-28,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Data Science
2019-15169,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2019-07-17,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Data Science
2019-11512,"The Department of Health and Human Services (``the Department'') is committed to ensuring the civil rights of all individuals who access or seek to access health programs or activities of covered entities under Section 1557 of the Patient Protection and Affordable Care Act. The Department proposes to revise its Section 1557 regulation in order to better comply with the mandates of Congress, address legal concerns, relieve billions of dollars in undue regulatory burdens, further substantive compliance, reduce confusion, and clarify the scope of Section 1557 in keeping with pre-existing civil rights statutes and regulations prohibiting discrimination on the basis of race, color, national origin, sex, age, and disability.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare and Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services', 'Office of the Secretary']",,2019-06-14,False,,Nondiscrimination in Health and Health Education Programs or Activities,"['Administrative practice and procedure', 'Administrative practice and procedure', 'Advertising', 'Advisory committees', 'Aged', 'Aged', 'Aged', 'Brokers', 'Buildings and facilities', 'Civil rights', 'Civil rights', 'Colleges and universities', 'Conflict of interests', 'Consumer protection', 'Education', 'Education of individuals with disabilities', 'Educational facilities', 'Educational research', 'Educational study programs', 'Employment', 'Equal educational opportunity', 'Equal employment opportunity', 'Grant programs-education', 'Grant programs-health', 'Health care', 'Health facilities', 'Health insurance', 'Health maintenance organizations (HMO)', 'Health records', 'Hospitals', 'Indians', 'Individuals with disabilities', 'Investigations', 'Loan programs-health', 'Medicaid', 'Medicare', 'Organization and functions (Government agencies)', 'Public assistance programs', 'Religious discrimination', 'Reporting and recordkeeping requirements', 'Sex discrimination', 'State and local governments', 'Student aid', 'Sunshine Act', 'Technical assistance', 'Women', 'Youth']",Proposed Rule,Data Science
2019-09517,"In compliance with the Paperwork Reduction Act of 1995, the National Institutes of Health (NIH) has submitted to the Office of Management and Budget (OMB) a request for review and approval of the information collection listed below.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2019-05-09,,,"Submission for OMB Review; 30-Day Comment Request; NIH Office of Intramural Training & Education-Application, Registration, and Alumni Systems (Office of the Director)",[],Notice,Data Science
2019-01026,"In this proposed rule, the Department of Health and Human Services (Department or HHS) proposes to amend the safe harbor regulation concerning discounts, which are defined as certain conduct that is protected from liability under the Federal anti-kickback statute, section 1128B(b) of the Social Security Act (the Act). The amendment would revise the discount safe harbor to explicitly exclude from the definition of a discount eligible for safe harbor protection certain reductions in price or other remuneration from a manufacturer of prescription pharmaceutical products to plan sponsors under Medicare Part D, Medicaid managed care organizations as defined under section 1903(m) of the Act (Medicaid MCOs), or pharmacy benefit managers (PBMs) under contract with them. In addition, the Department is proposing two new safe harbors. The first would protect certain point-of-sale reductions in price on prescription pharmaceutical products, and the second would protect certain PBM service fees.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of Inspector General'}]","['Health and Human Services Department', 'Office of Inspector General']",,2019-02-06,False,,Fraud and Abuse; Removal of Safe Harbor Protection for Rebates Involving Prescription Pharmaceuticals and Creation of New Safe Harbor Protection for Certain Point-of-Sale Reductions in Price on Prescription Pharmaceuticals and Certain Pharmacy Benefit Manager Service Fees,"['Administrative practice and procedure', 'Fraud', 'Grant programs-health', 'Health facilities', 'Health professions', 'Maternal and child health', 'Medicaid', 'Medicare', 'Social security']",Proposed Rule,Data Science
