document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2019-19713,"In accordance with the Privacy Act of 1974, 5 U.S.C. 552a, the Department of Housing and Urban Development, Office of Chief Information Office, is giving notice that it intends to amend one of its systems of records published in the Federal Register, FR-6009-N-02. This update expands the existing system of records notice to authorize HUD's Enterprise Data Management (EDM) to collect and maintain information for mandatory transparency reporting requirements, such as the Federal Funding Accountability and Transparency Act (FFATA) and the Digital Accountability and Transparency Act (DATA Act). HUD is continuing to upgrade its data management, data warehousing, data mining and data security capabilities from current outdated legacy databases to the EDM platform.",Notice of amended Privacy Act System of Records.,"[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228.json', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]",['Housing and Urban Development Department'],,2019-09-12,,,Privacy Act of 1974; System of Records,[],Notice,Data Mining
2019-05362,"This final rule amends the regulation governing State Medicaid Fraud Control Units (MFCUs or Units). The rule incorporates statutory changes affecting the Units as well as policy and practice changes that have occurred since the regulation was initially issued in 1978. These changes include a recognition of OIG's delegated authority; Unit authority, functions, and responsibilities; disallowances; and issues related to organization, prosecutorial authority, staffing, recertification, and the Units' relationship with Medicaid agencies. The rule is designed to assist the MFCUs in understanding their authorities and responsibilities under the grant program, clarify the flexibilities the MFCUs have to operate their programs, and reduce administrative burden, where appropriate, by eliminating duplicative and unnecessary reporting requirements.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2019-05-21,2019-03-22,True,,Medicaid; Revisions to State Medicaid Fraud Control Unit Rules,"['Administrative practice and procedure', 'Fraud', 'Grant programs-health', 'Health facilities', 'Health professions', 'Investigations', 'Medicaid', 'Reporting and recordkeeping requirements']",Rule,Data Mining
2019-05466,"This notice proposes to revise to the Privacy Act System of Records titled Farm Records File (Automated) USDA, which includes information for certain Farm Service Agency under (FSA) Farm Programs and certain Commodity Credit Corporation (CCC) programs that are administered by FSA on behalf of CCC. The records include information about the majority of agricultural producers in the United States. In general, USDA is modifying the system of records to add three new routine uses and make updates to one routine use to comply with recent requirements.",Notice of a modified system of records.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Farm Service Agency', 'name': 'Farm Service Agency', 'id': 157, 'url': 'https://www.federalregister.gov/agencies/farm-service-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/157.json', 'parent_id': 12, 'slug': 'farm-service-agency'}, {'raw_name': 'Commodity Credit Corporation', 'name': 'Commodity Credit Corporation', 'id': 76, 'url': 'https://www.federalregister.gov/agencies/commodity-credit-corporation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/76.json', 'parent_id': 12, 'slug': 'commodity-credit-corporation'}]","['Agriculture Department', 'Farm Service Agency', 'Commodity Credit Corporation']",,2019-03-22,,,Office of The Secretary; Privacy Act of 1974; System of Records,[],Notice,Data Mining
2019-00302,"This final rule amends Department of Homeland Security (``DHS'' or ``the Department'') regulations governing petitions filed on behalf of H-1B beneficiaries who may be counted toward the 65,000 visa cap established under the Immigration and Nationality Act (``H-1B regular cap'') or beneficiaries with advanced degrees from U.S. institutions of higher education who are eligible for an exemption from the regular cap (``advanced degree exemption''). The amendments require petitioners seeking to file H-1B petitions subject to the regular cap, including those eligible for the advanced degree exemption, to first electronically register with U.S. Citizenship and Immigration Services (``USCIS'') during a designated registration period, unless the registration requirement is temporarily suspended. USCIS is suspending the registration requirement for the fiscal year 2020 cap season to complete all requisite user testing of the new H-1B registration system and otherwise ensure the system and process are operable. This final rule also changes the process by which USCIS counts H-1B registrations (or petitions, for FY 2020 or any other year in which the registration requirement will be suspended), by first selecting registrations submitted on behalf of all beneficiaries, including those eligible for the advanced degree exemption. USCIS will then select from the remaining registrations a sufficient number projected as needed to reach the advanced degree exemption. Changing the order in which USCIS counts these separate allocations will likely increase the number of beneficiaries with a master's or higher degree from a U.S. institution of higher education to be selected for further processing under the H- 1B allocations. USCIS will proceed with implementing this change to the cap allocation selection process for the FY 2020 cap season (beginning on April 1, 2019), notwithstanding the delayed implementation of the H- 1B registration requirement.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}]",['Homeland Security Department'],2019-04-01,2019-01-31,True,,Registration Requirement for Petitioners Seeking To File H-1B Petitions on Behalf of Cap-Subject Aliens,"['Administrative practice and procedure', 'Aliens', 'Cultural exchange programs', 'Employment', 'Foreign officials', 'Health professions', 'Reporting and recordkeeping requirements', 'Students']",Rule,Data Mining
2018-27798,"The Office of the Inspector General (OIG), a component within the United States Department of Justice (DOJ or Department), is finalizing its Privacy Act exemption regulations for the system of records titled, ``Data Analytics Program Records System,'' JUSTICE/OIG- 006, which were published as a Notice of Proposed Rulemaking (NPRM) on March 28, 2018. Specifically, the Department's regulations will exempt the records maintained in JUSTICE/OIG-006 from one or more provisions of the Privacy Act and implement other administrative changes. The exemptions are necessary to avoid interference with the law enforcement functions and responsibilities of OIG. The Department received 21 comments on the NPRM, none of which addressed the substance of the proposed Privacy Act exemption regulations for JUSTICE/OIG-006.",Final rule.,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}]",['Justice Department'],2019-01-25,2018-12-26,,,Privacy Act of 1974; Implementation,"['Administrative practice and procedure', 'Courts', 'Freedom of information', 'Privacy']",Rule,Data Mining
2018-27322,"The Coastal Barrier Resources Reauthorization Act of 2006 requires the Secretary of the Interior to prepare digital versions of the John H. Chafee Coastal Barrier Resources System (CBRS) maps. We, the U.S. Fish and Wildlife Service, have prepared proposed digital boundaries for the second batch of CBRS units included in the Hurricane Sandy Remapping Project. This second batch of the project includes a total of 310 CBRS units (256 existing units and 54 proposed new units) located in Connecticut, Maryland, Massachusetts, New York (Long Island), Rhode Island, and Virginia. Though the Massachusetts units were included in the first batch of this project, a minor portion of Rhode Island Unit D01 in this second batch is located in Massachusetts. This notice announces the availability of the proposed boundaries for public review and comment, and also advises the public of upcoming public meetings that will be held via webcast and teleconference.",Notice of availability; request for comments; notice of public meetings via webcast and teleconference.,"[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Fish and Wildlife Service', 'name': 'Fish and Wildlife Service', 'id': 197, 'url': 'https://www.federalregister.gov/agencies/fish-and-wildlife-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/197.json', 'parent_id': 253, 'slug': 'fish-and-wildlife-service'}]","['Interior Department', 'Fish and Wildlife Service']",,2018-12-18,,,"John H. Chafee Coastal Barrier Resources System; Hurricane Sandy Remapping Project for Connecticut, Maryland, Massachusetts, New York, Rhode Island, and Virginia",[],Notice,Data Mining
2018-26106,"The Department of Homeland Security (``DHS'' or ``the Department'') is proposing to amend its regulations governing petitions filed on behalf of H-1B beneficiaries who may be counted toward the 65,000 visa cap established under the Immigration and Nationality Act (``H-1B regular cap'') or beneficiaries with advanced degrees from U.S. institutions of higher education who are eligible for an exemption from the regular cap (``advanced degree exemption''). The proposed amendments would require petitioners seeking to file H-1B petitions subject to the regular cap, including those eligible for the advanced degree exemption, to first electronically register with U.S. Citizenship and Immigration Services (``USCIS'') during a designated registration period. USCIS would select from among the registrations timely received a sufficient number projected as needed to meet the applicable H-1B allocations. DHS also proposes to change the process by which USCIS counts H-1B registrations (or petitions, if the registration requirement is suspended), by first selecting registrations submitted on behalf of all beneficiaries, including those eligible for the advanced degree exemption. USCIS would then select from the remaining registrations a sufficient number projected as needed to reach the advanced degree exemption. Changing the order in which USCIS counts these separate allocations would likely increase the number of beneficiaries with a master's or higher degree from a U.S. institution of higher education to be selected for further processing under the H-1B allocations.",Notice of proposed rulemaking.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}]",['Homeland Security Department'],,2018-12-03,True,,Registration Requirement for Petitioners Seeking To File H-1B Petitions on Behalf of Cap-Subject Aliens,"['Administrative practice and procedure', 'Aliens', 'Cultural exchange programs', 'Employment', 'Foreign officials', 'Health professions', 'Reporting and recordkeeping requirements', 'Students']",Proposed Rule,Data Mining
2018-09545,The consent agreement in this matter settles alleged violations of federal law prohibiting unfair or deceptive acts or practices. The attached Analysis to Aid Public Comment describes both the allegations in the complaint and the terms of the consent order-- embodied in the consent agreement--that would settle these allegations.,Proposed Consent Agreement.,"[{'raw_name': 'FEDERAL TRADE COMMISSION', 'name': 'Federal Trade Commission', 'id': 192, 'url': 'https://www.federalregister.gov/agencies/federal-trade-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/192.json', 'parent_id': None, 'slug': 'federal-trade-commission'}]",['Federal Trade Commission'],,2018-05-04,,,"BLU Products, Inc.; Analysis to Aid Public Comment",[],Notice,Data Mining
2018-04889,"The Coastal Barrier Resources Reauthorization Act of 2006 requires the Secretary of the Interior to prepare digital versions of the John H. Chafee Coastal Barrier Resources System (CBRS) maps. We, the U.S. Fish and Wildlife Service, have prepared proposed digital boundaries for the first batch of CBRS units included in the Hurricane Sandy Remapping Project. This first batch of the project includes a total of 148 CBRS units (112 existing units and 36 proposed new units) located in Delaware, Massachusetts, New Hampshire, and New Jersey. This notice announces the availability of the proposed boundaries for public review and comment, and also advises the public of upcoming public meetings that will be held via webcast and teleconference.",Notice of availability; request for comments; notice of public meetings via webcast and teleconference.,"[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Fish and Wildlife Service', 'name': 'Fish and Wildlife Service', 'id': 197, 'url': 'https://www.federalregister.gov/agencies/fish-and-wildlife-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/197.json', 'parent_id': 253, 'slug': 'fish-and-wildlife-service'}]","['Interior Department', 'Fish and Wildlife Service']",,2018-03-12,,,"John H. Chafee Coastal Barrier Resources System; Hurricane Sandy Remapping Project for Delaware, Massachusetts, New Hampshire, and New Jersey",[],Notice,Data Mining
2017-27788,"The Environmental Protection Agency (EPA or the Agency) is establishing by this regulation the methodology the Agency will use to determine and revise the user fees applicable to the electronic and paper manifests to be submitted to the national electronic manifest system (e-Manifest system) that EPA is developing under the Hazardous Waste Electronic Manifest Establishment Act. After the e-Manifest system's implementation date, certain users of the hazardous waste manifest will be required to pay a prescribed fee for each electronic and paper manifest they use and submit to the national system so that EPA can recover the costs of developing and operating the national e- Manifest system. This final rule also announces the date when EPA expects the system to be operational and available to users. EPA will begin accepting manifest submissions and collecting the corresponding manifest submission fees on this date. In addition, this action announces final decisions and regulations relating to several non-fee related matters that were included in the proposed rule. This includes modifying the existing regulations to: allow changes to the transporters designated on a manifest while the shipment is en route; describe how data corrections may be made to existing manifest records in the system; and amend the previous e- Manifest regulation (the One Year Rule) to allow the use, in certain instances, of a mixed paper and electronic manifest to track a hazardous waste shipment.",Final rule.,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145.json', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",['Environmental Protection Agency'],2018-06-30,2018-01-03,True,,Hazardous Waste Management System; User Fees for the Electronic Hazardous Waste Manifest System and Amendments to Manifest Regulations,"['Environmental protection', 'Exports', 'Hazardous materials transportation', 'Hazardous waste', 'Imports', 'Labeling', 'Packaging and containers', 'Penalties', 'Reporting and recordkeeping requirements', 'Security measures']",Rule,Data Mining
