document_number,abstract,agencies,excerpts,html_url,pdf_url,public_inspection_pdf_url,publication_date,title,type
2019-20736,"This final rule reforms Medicare regulations that are identified as unnecessary, obsolete, or excessively burdensome on health care providers and suppliers. This final rule also increases the ability of health care professionals to devote resources to improving patient care by eliminating or reducing requirements that impede quality patient care or that divert resources away from furnishing high quality patient care. Additionally, this rule updates fire safety standards for Medicare and Medicaid participating End-Stage Renal Disease (ESRD) facilities by adopting the 2012 edition of the Life Safety Code and the 2012 edition of the Health Care Facilities Code. Finally, this final rule updates the requirements that hospitals and Critical Access Hospitals (CAHs) must meet to participate in the Medicare and Medicaid programs. These requirements are intended to conform to current standards of practice and support improvements in quality of care, reduce barriers to care, and reduce some issues that may exacerbate workforce shortage concerns.","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]"," &#8230;  patients with conditions such as <span class=""match"">Lyme</span> disease. Some of these commenters &#8230; ",https://www.federalregister.gov/documents/2019/09/30/2019-20736/medicare-and-medicaid-programs-regulatory-provisions-to-promote-program-efficiency-transparency-and,https://www.govinfo.gov/content/pkg/FR-2019-09-30/pdf/2019-20736.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-20736.pdf?1569424517,2019-09-30,"Medicare and Medicaid Programs; Regulatory Provisions To Promote Program Efficiency, Transparency, and Burden Reduction; Fire Safety Requirements for Certain Dialysis Facilities; Hospital and Critical Access Hospital (CAH) Changes To Promote Innovation, Flexibility, and Improvement in Patient Care",Rule
2019-17288,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]"," &#8230;  the information collection request titled <span class=""match"">Lyme</span> and Other Tickborne Diseases Knowledge &#8230;  of notice publication. 
 Proposed Project 
 <span class=""match"">Lyme</span> and other Tickborne Diseases Knowledge &#8230;  cases of anaplasmosis, babesiosis, ehrlichiosis, <span class=""match"">Lyme</span> disease, Rocky Mountain spotted fever &#8230; ",https://www.federalregister.gov/documents/2019/08/13/2019-17288/agency-forms-undergoing-paperwork-reduction-act-review,https://www.govinfo.gov/content/pkg/FR-2019-08-13/pdf/2019-17288.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-17288.pdf?1565613922,2019-08-13,Agency Forms Undergoing Paperwork Reduction Act Review,Notice
2019-16954,The Federal Trade Commission (``FTC'' or ``Commission'') currently has open files for contracts that have lapsed. The contract periods of performance for services and final delivery dates for goods have expired and the time allowed for contract file closeout is overdue. To clear the backlog of physically completed contracts (FAR 4.804) the FTC will utilize the procedure described below based on FAR 4.804-5 and 42.708 that will enable the Commission to close these files all at one time in an efficient and cost effective manner. No separate contract modifications will be issued.,"[{'raw_name': 'FEDERAL TRADE COMMISSION', 'name': 'Federal Trade Commission', 'id': 192, 'url': 'https://www.federalregister.gov/agencies/federal-trade-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/192.json', 'parent_id': None, 'slug': 'federal-trade-commission'}]"," &#8230;  
 
 FTC11H1028 
 
 LUTHRA &amp; LUTHRA 
 
 FTC06H6020 
 
 <span class=""match"">LYME</span> COMPUTER SYSTEMS, INC. 
 
 FTC13G3105 
 
 M &#8230; ",https://www.federalregister.gov/documents/2019/08/08/2019-16954/request-for-contractor-submission-of-final-invoices-for-expired-contracts,https://www.govinfo.gov/content/pkg/FR-2019-08-08/pdf/2019-16954.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-16954.pdf?1565181921,2019-08-08,Request for Contractor Submission of Final Invoices for Expired Contracts,Notice
2019-12682,"This document amends the Department of Veterans Affairs (VA) Schedule for Rating Disabilities (VASRD) by revising the portion of the schedule that addresses infectious diseases, immune disorders, and nutritional deficiencies. The effect of this action is to ensure that the rating schedule uses current medical terminology and to provide detailed and updated criteria for evaluation of infectious diseases, immune disorders, and nutritional deficiencies for disability rating purposes.","[{'raw_name': 'DEPARTMENT OF VETERANS AFFAIRS', 'name': 'Veterans Affairs Department', 'id': 520, 'url': 'https://www.federalregister.gov/agencies/veterans-affairs-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/520.json', 'parent_id': None, 'slug': 'veterans-affairs-department'}]"," &#8230;  diagnostic methods, specifically for borreliosis (<span class=""match"">Lyme</span> disease). The commenter did not &#8230; , lung lesions, or meningitis. 
 
 
 6319 <span class=""match"">Lyme</span> disease: 
 
 
 Evaluate under the General &#8230; ",https://www.federalregister.gov/documents/2019/06/18/2019-12682/schedule-for-rating-disabilities-infectious-diseases-immune-disorders-and-nutritional-deficiencies,https://www.govinfo.gov/content/pkg/FR-2019-06-18/pdf/2019-12682.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-12682.pdf?1560794658,2019-06-18,"Schedule for Rating Disabilities; Infectious Diseases, Immune Disorders, and Nutritional Deficiencies",Rule
2019-12648,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]"," &#8230; ., Gaborone, BOTSWANA; FiberQA LLC, Old <span class=""match"">Lyme</span>, CT; Google LLC, Mountain View &#8230; ",https://www.federalregister.gov/documents/2019/06/17/2019-12648/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-the-open-group-llc,https://www.govinfo.gov/content/pkg/FR-2019-06-17/pdf/2019-12648.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-12648.pdf?1560516318,2019-06-17,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-The Open Group, L.L.C.",Notice
2019-12230,"The Coast Guard will enforce certain safety zones located in the federal regulations for Annual Events in the Captain of the Port Buffalo. This action is necessary and intended to protect the safety of life and property on navigable waters prior to, during, and immediately after these events. During each enforcement period, no person or vessel may enter the respective safety zone without the permission of the Captain of the Port Buffalo.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230; . on July 13, 2019. 
 4. <span class=""match"">Lyme</span> Community Days, Chaumont, NY; The &#8230; ",https://www.federalregister.gov/documents/2019/06/11/2019-12230/safety-zones-annual-events-in-the-captain-of-the-port-buffalo-zone,https://www.govinfo.gov/content/pkg/FR-2019-06-11/pdf/2019-12230.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-12230.pdf?1560170721,2019-06-11,Safety Zones; Annual Events in the Captain of the Port Buffalo Zone,Rule
2019-11647,"The Centers for Disease Control and Prevention (CDC), as part of its continuing effort to reduce public burden and maximize the utility of government information, invites the general public and other Federal agencies the opportunity to comment on a proposed and/or continuing information collection, as required by the Paperwork Reduction Act of 1995. This notice invites comment on a proposed information collection project titled Lyme and other Tickborne Diseases Knowledge, Attitudes, and Practices Surveys. This will allow for survey development, pre-testing activities, and survey administration to be carried out during the years 2020-2022 by the Division of Vector-Borne Diseases (DVBD), National Center for Emerging and Zoonotic Diseases (NCEZID), Centers for Disease Control and Prevention (CDC). The data collection for which approval is sought will allow DVBD to use survey results to inform implementation of future TBD prevention interventions.","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]"," &#8230;  proposed information collection project titled <span class=""match"">Lyme</span> and other Tickborne Diseases Knowledge &#8230; . 
 Proposed Project 
 Generic Clearance for <span class=""match"">Lyme</span> and other Tickborne Diseases Knowledge &#8230;  cases of anaplasmosis, babesiosis, ehrlichiosis, <span class=""match"">Lyme</span> disease, Rocky Mountain spotted fever &#8230; ",https://www.federalregister.gov/documents/2019/06/05/2019-11647/proposed-data-collection-submitted-for-public-comment-and-recommendations,https://www.govinfo.gov/content/pkg/FR-2019-06-05/pdf/2019-11647.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-11647.pdf?1559652317,2019-06-05,Proposed Data Collection Submitted for Public Comment and Recommendations,Notice
2019-07535,"Notice is hereby given that permits or permit amendments have been issued to the following entities under the Marine Mammal Protection Act (MMPA) and the Endangered Species Act (ESA), as applicable.","[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]"," &#8230; , P.O. Box 719, Old <span class=""match"">Lyme</span>, CT 06371 (Responsible Party: Tom &#8230; ",https://www.federalregister.gov/documents/2019/04/16/2019-07535/marine-mammals-and-endangered-species,https://www.govinfo.gov/content/pkg/FR-2019-04-16/pdf/2019-07535.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-07535.pdf?1555332322,2019-04-16,Marine Mammals and Endangered Species,Notice
2019-04420,"We, the U.S. Fish and Wildlife Service (Service or USFWS), have evaluated the classification status of gray wolves (Canis lupus) currently listed in the contiguous United States and Mexico under the Endangered Species Act of 1973, as amended (Act). Based on our evaluation, we propose to remove the gray wolf from the List of Endangered and Threatened Wildlife. We propose this action because the best available scientific and commercial information indicates that the currently listed entities do not meet the definitions of a threatened species or endangered species under the Act due to recovery. The effect of this rulemaking action would be to remove the gray wolf from the Act's protections. This proposed rule does not have any effect on the separate listing of the Mexican wolf (Canis lupus baileyi) as endangered under the Act.","[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Fish and Wildlife Service', 'name': 'Fish and Wildlife Service', 'id': 197, 'url': 'https://www.federalregister.gov/agencies/fish-and-wildlife-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/197.json', 'parent_id': 253, 'slug': 'fish-and-wildlife-service'}]"," &#8230;  et al. 1995, p. 421). 
 <span class=""match"">Lyme</span> disease, caused by a spirochete &#8230;  wolves may be debilitated by <span class=""match"">Lyme</span> disease, perhaps contributing to their &#8230;  mortality; however, <span class=""match"">Lyme</span> disease is not believed to &#8230; ",https://www.federalregister.gov/documents/2019/03/15/2019-04420/endangered-and-threatened-wildlife-and-plants-removing-the-gray-wolf-canis-lupus,https://www.govinfo.gov/content/pkg/FR-2019-03-15/pdf/2019-04420.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-04420.pdf?1552567517,2019-03-15,Endangered and Threatened Wildlife and Plants; Removing the Gray Wolf (Canis lupus,Proposed Rule
2019-00636,"The Department of Veterans Affairs (VA) proposes to amend the section of the VA Schedule for Rating Disabilities (VASRD or Rating Schedule) that addresses infectious diseases and immune disorders. The purpose of these changes is to incorporate medical advances since the last revision, update medical terminology, and clarify evaluation criteria. The proposed rule considers comments from experts and the public during a forum held from January 31 to February 1, 2011, on revising this section of the VASRD.","[{'raw_name': 'DEPARTMENT OF VETERANS AFFAIRS', 'name': 'Veterans Affairs Department', 'id': 520, 'url': 'https://www.federalregister.gov/agencies/veterans-affairs-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/520.json', 'parent_id': None, 'slug': 'veterans-affairs-department'}]"," &#8230;  DC 6319, <span class=""match"">Lyme</span> disease, when it is active. <span class=""match"">Lyme</span> disease is an &#8230; . Therefore, VA proposes to rate <span class=""match"">Lyme</span> disease under the General Rating &#8230; , lung lesions, or meningitis. 
 
 
 6319 <span class=""match"">Lyme</span> disease: 
 
 
 Evaluate under the General &#8230; ",https://www.federalregister.gov/documents/2019/02/05/2019-00636/schedule-for-rating-disabilities-infectious-diseases-immune-disorders-and-nutritional-deficiencies,https://www.govinfo.gov/content/pkg/FR-2019-02-05/pdf/2019-00636.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2019-00636.pdf?1549287920,2019-02-05,"Schedule for Rating Disabilities: Infectious Diseases, Immune Disorders, and Nutritional Deficiencies",Proposed Rule
